name,online_order,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Old Mumbai Ice Cream,Yes,3.9/5,38,Banashankari,Dessert Parlor,Ice Cream,150,Delivery,Banashankari
Donne Biriyani House,Yes,3.9/5,441,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400,Delivery,Banashankari
By 2 Coffee,Yes,3.9/5,25,Basavanagudi,Quick Bites,South Indian,100,Delivery,Banashankari
Kedia's Fun Food,Yes,4.3/5,630,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200,Delivery,Banashankari
Davangere Butter Dosa Hotel,Yes,3.8/5,25,Kumaraswamy Layout,Quick Bites,South Indian,150,Delivery,Banashankari
Just Shawarma,Yes,3.9/5,160,Kumaraswamy Layout,Quick Bites,Arabian,300,Delivery,Banashankari
Mini Punjabi Dhaba,Yes,4.2/5,287,Banashankari,Quick Bites,North Indian,350,Delivery,Banashankari
Mulabagilu Dosa,Yes,3.6/5,11,Basavanagudi,Quick Bites,South Indian,100,Delivery,Banashankari
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,4.1/5,402,Banashankari,Cafe,Cafe,500,Delivery,Banashankari
Gokul Veg,Yes,3.8/5,469,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",750,Delivery,Banashankari
Olive - Era,Yes,3.3/5,511,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery,Banashankari
Udupi Ruchi,Yes,3.9/5,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery,Banashankari
Madhappa Hindu Military Hotel,Yes,3.4/5,14,Banashankari,Quick Bites,South Indian,300,Delivery,Banashankari
Gama Gama,Yes,3.9/5,264,Banashankari,Quick Bites,South Indian,200,Delivery,Banashankari
The Vintage Cafe,Yes,3.0/5,62,Banashankari,Cafe,"Cafe, French, North Indian",400,Delivery,Banashankari
Pizza Hut,Yes,3.8/5,693,Banashankari,Casual Dining,"Pizza, Fast Food",750,Delivery,Banashankari
Mangalore Pearl,Yes,3.8/5,242,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650,Delivery,Banashankari
Asha Sweets Centre,Yes,3.6/5,27,Basavanagudi,Dessert Parlor,Fast Food,250,Delivery,Banashankari
Twiststick House,Yes,4.1/5,163,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500,Delivery,Banashankari
Cool Corner,Yes,4.2/5,191,Basavanagudi,Quick Bites,"Street Food, Fast Food",250,Delivery,Banashankari
Pizza Mane,Yes,3.5/5,32,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150,Delivery,Banashankari
Dal Tadkaa,Yes,2.5/5,247,Banashankari,Casual Dining,North Indian,500,,
" """"RATED\n  The buffet is inr 330 pp all incl. But the quality is very mediocre", so is the variety. Daal baati didn't feel like one... I could eat," you can definitely hang in domino's and get a d cheese burst full in your mouth :p"""")", ('Rated 2.5', they had a board that said spl buffet. There was nothing special about it. The usual north indian thali, only served buffet style," the server says it is on the other table madam please take it ? )\nFood: 2.5/5\nAmbiance: 3/5\nService: 2/5\nPrice: 2/5"""")", ('Rated 3.5', my expression was it has to be Veg restaurant but it was not at all only Veg. Food was spicy and absolute pleasure to eat.'), ('Rated 2.5'
Chutney Chang,Yes,4.1/5,2339,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ","1,500",Delivery,Banashankari
Mystique Palate,Yes,4.1/5,337,Jayanagar,Quick Bites,"Chinese, Fast Food",300,Delivery,Banashankari
Thamboola,Yes,3.9/5,135,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800,Delivery,Banashankari
Castle Rock,Yes,3.6/5,172,Uttarahalli,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
Vietnamese Kitchen,Yes,3.6/5,105,Banashankari,Casual Dining,Vietnamese,700,Delivery,Banashankari
Smacznego,Yes,4.2/5,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Delivery,Banashankari
C Corner,Yes,3.2/5,36,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",200,Delivery,Banashankari
Paratha Merchant,Yes,3.1/5,39,Kumaraswamy Layout,Quick Bites,North Indian,300,Delivery,Banashankari
North Rasoe,Yes,3.1/5,5,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500,Delivery,Banashankari
Inchara Restaurant,Yes,,0,Basavanagudi,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari
Toscano,Yes,4.3/5,1129,Jayanagar,Casual Dining,"Italian, Salad","1,300",Delivery,Banashankari
Lord Of The Kitchen,Yes,3.9/5,56,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",350,Delivery,Banashankari
Stoned Monkey,Yes,4.3/5,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500,Delivery,Banashankari
Central Jail Restaurant,Yes,3.8/5,412,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700,Delivery,Banashankari
Bella,Yes,3.9/5,142,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian","1,000",Delivery,Banashankari
Vennela Andhra Meals,Yes,3.0/5,23,Jayanagar,Quick Bites,Andhra,400,Delivery,Banashankari
New Prashanth Hotel,Yes,3.6/5,143,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750,Delivery,Banashankari
The Grillo,Yes,2.8/5,80,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500,Delivery,Banashankari
Re Malnad Nati Style Hotel,Yes,3.6/5,16,JP Nagar,Casual Dining,South Indian,400,Delivery,Banashankari
Karma Kaapi,Yes,4.4/5,181,Jayanagar,Beverage Shop,"Beverages, Tea",250,Delivery,Banashankari
Tiwari's,Yes,3.8/5,70,Jayanagar,Quick Bites,"North Indian, Street Food",200,Delivery,Banashankari
Pizza Stop,Yes,3.8/5,164,Basavanagudi,Quick Bites,"Pizza, Italian",600,Delivery,Banashankari
Biggies Burger 'n' More,Yes,3.6/5,58,Kumaraswamy Layout,Quick Bites,"Cafe, Burger, Beverages",650,Delivery,Banashankari
Srinathji's Cafe,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Delivery,Banashankari
Kollapuri's,No,3.9/5,206,Basavanagudi,Quick Bites,"South Indian, Mangalorean",450,Delivery,Banashankari
Sugar Stars Co,No,,0,Basavanagudi,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
Bombay Kulfis,No,,0,JP Nagar,Dessert Parlor,Ice Cream,200,Delivery,Banashankari
Kadamba Classic,No,3.6/5,16,Mysore Road,Quick Bites,South Indian,300,Delivery,Banashankari
RS Shiv Sagar,No,3.7/5,217,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",450,Delivery,Banashankari
Kholi Mane,No,3.6/5,46,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",450,Delivery,Banashankari
Harshi Super Sandwich,No,3.8/5,148,Basavanagudi,Quick Bites,"Fast Food, Street Food",150,Delivery,Banashankari
Cake Yard,No,3.4/5,30,Basavanagudi,Dessert Parlor,Desserts,250,Delivery,Banashankari
Rosewood International Hotel - Bar & Restaurant,No,3.6/5,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,Delivery,Banashankari
Sri Udupi Veg,No,3.3/5,4,Jayanagar,Quick Bites,South Indian,250,Delivery,Banashankari
Cake Art,No,3.5/5,15,Basavanagudi,"Bakery, Quick Bites",Bakery,400,Delivery,Banashankari
Aahar Cafe,No,,0,Basavanagudi,Quick Bites,South Indian,100,Delivery,Banashankari
Akash Gowdru Biryani Center,No,,0,Uttarahalli,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari
New Sri Udupi Restaurant,No,,0,Jayanagar,Quick Bites,"North Indian, South Indian, Chinese, Beverages, Fast Food",200,Delivery,Banashankari
Potato House,Yes,3.4/5,9,Uttarahalli,Quick Bites,Street Food,200,Delivery,Banashankari
Hotel Biriyani Counter,No,,0,Vijay Nagar,Quick Bites,"North Indian, Chinese, Biryani",350,Delivery,Banashankari
Matru Sagar,Yes,3.7/5,31,Mysore Road,Quick Bites,"South Indian, North Indian",300,Delivery,Banashankari
Ugadi,Yes,2.9/5,177,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700,,
" """"RATED\n  The food here is just about an average", neither it's too good nor its bad.\nThe starters taste needs a Lil improvement.\nWorth a try, ('Rated 2.5', 'RATED\n  The first time I visited this place I had a good experience, ('Rated 3.0', 'RATED\n  The restaurant will give a treat to non-vegetarian tongues. Being Andhra styled, ('Rated 3.0', 'RATED\n  Ambience is not at all nice.... Service is also not satisfied... Still have to improve on those aspects...... Food is good.. Esp chicken majestic.. Is awesome... Biryani is also good..veg thali is also nice'), but it was disaster. I never had such a bad tasting food so far in my life, it was too much sour and without any taste. Finally we came out with our stomach half filled. I decided not to experiment and better stick to the restaurants we like.')
Sri Krishna Sweets,Yes,3.7/5,22,Basavanagudi,Sweet Shop,"Mithai, Desserts",250,Delivery,Banashankari
In Time Cane Juice,Yes,3.5/5,10,Kumaraswamy Layout,Beverage Shop,"Juices, Beverages",100,Delivery,Banashankari
Subway,Yes,3.7/5,136,Banashankari,Quick Bites,"Salad, Fast Food",600,Delivery,Banashankari
Daal Roti,Yes,2.9/5,35,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
The Lassi Park,Yes,4.1/5,185,Jayanagar,Quick Bites,"Juices, Desserts",200,Delivery,Banashankari
Cafe Coffee Day,Yes,3.2/5,17,Jayanagar,Cafe,"Cafe, Fast Food",900,Delivery,Banashankari
A2B - Adyar Ananda Bhavan,Yes,3.8/5,155,Mysore Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400,Delivery,Banashankari
Srikrishna Bhavan,Yes,3.8/5,42,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Banashankari
Timepass Dinner,Yes,3.8/5,286,Basavanagudi,Casual Dining,North Indian,600,Delivery,Banashankari
Green Gardenia,Yes,3.8/5,160,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
J Spice,Yes,3.8/5,59,Banashankari,Casual Dining,"North Indian, Chinese",750,Delivery,Banashankari
Karavali Family Restaurant,Yes,3.5/5,90,Jayanagar,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",500,Delivery,Banashankari
Karavali Lunch Home,Yes,3.7/5,51,Kumaraswamy Layout,Quick Bites,"South Indian, Mangalorean",350,Delivery,Banashankari
Hatti Kaapi,Yes,4.0/5,89,Jayanagar,Quick Bites,"South Indian, Beverages",200,Delivery,Banashankari
Kolkata Kathi Roll's,Yes,3.6/5,18,Banashankari,Quick Bites,"Fast Food, Rolls",250,Delivery,Banashankari
Upahara Darshini,Yes,3.9/5,40,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",600,Delivery,Banashankari
The Chaat Shop,Yes,2.5/5,35,Basavanagudi,Quick Bites,Fast Food,200,Delivery,Banashankari
Anda Ka Funda,Yes,3.4/5,89,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls",250,Delivery,Banashankari
Shri Vinayaka Ice N Juice,Yes,3.2/5,11,Basavanagudi,Quick Bites,"Beverages, Fast Food",150,Delivery,Banashankari
My Tea House,Yes,3.6/5,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,Delivery,Banashankari
Ibaco,Yes,3.9/5,33,Jayanagar,Dessert Parlor,Desserts,300,Delivery,Banashankari
Jalaram Sweets,Yes,3.8/5,32,Jayanagar,Sweet Shop,"Desserts, Mithai",250,Delivery,Banashankari
Samskruti - Sanman Gardenia,Yes,4.1/5,139,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian",550,Delivery,Banashankari
Bendakaluru Bytes,Yes,3.2/5,154,Vijay Nagar,Quick Bites,Fast Food,300,Delivery,Banashankari
Cocoa Bakes,Yes,3.6/5,14,Banashankari,Bakery,"Bakery, Desserts",350,Delivery,Banashankari
Chumma Delicious,Yes,3.7/5,237,Banashankari,Quick Bites,"South Indian, Fast Food",200,Delivery,Banashankari
New Prashanth Hotel,Yes,3.9/5,388,Banashankari,Casual Dining,"Biryani, North Indian, Seafood, Andhra",650,Delivery,Banashankari
SSV Upahar,Yes,NEW,0,Jayanagar,Quick Bites,"South Indian, Chinese",300,Delivery,Banashankari
Dwaraka Grand,Yes,3.9/5,128,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices",500,Delivery,Banashankari
Gufha - The President Hotel,Yes,4.1/5,1875,Jayanagar,Casual Dining,"North Indian, Afghani, Mughlai","1,200",Delivery,Banashankari
Cafe Vivacity,Yes,3.8/5,90,Banashankari,Cafe,Cafe,650,Delivery,Banashankari
Tanna's Kitchen,Yes,3.1/5,7,Kumaraswamy Layout,Quick Bites,"Italian, Chinese, Street Food",250,Delivery,Banashankari
Shree Mandarathi Grand,Yes,3.7/5,38,Uttarahalli,Casual Dining,"South Indian, North Indian",400,Delivery,Banashankari
Mojo Pizza - 2X Toppings,Yes,4.2/5,179,Banashankari,Delivery,Pizza,600,Delivery,Banashankari
Iceberg Icecreams,Yes,4.0/5,43,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",250,Delivery,Banashankari
South Kitchen,Yes,4.3/5,275,Basavanagudi,Quick Bites,South Indian,100,Delivery,Banashankari
Chung Wah,Yes,3.7/5,323,Jayanagar,Casual Dining,"Chinese, Thai, Momos",850,Delivery,Banashankari
Shanthi Sagar,Yes,3.1/5,28,Uttarahalli,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery,Banashankari
Millet Mama,Yes,3.9/5,18,Basavanagudi,Quick Bites,"South Indian, Healthy Food",200,Delivery,Banashankari
Bangarpet Chat Express,Yes,3.3/5,6,Basavanagudi,Quick Bites,"Street Food, Fast Food",100,Delivery,Banashankari
South Cool Point,Yes,,0,Basavanagudi,Dessert Parlor,Beverages,100,Delivery,Banashankari
Prems Graama Bhojanam,Yes,4.3/5,322,Jayanagar,Casual Dining,South Indian,400,Delivery,Banashankari
Java City,Yes,2.6/5,157,Jayanagar,Cafe,"Cafe, American, Pizza",450,Delivery,Banashankari
Kamat Bugle Rock,Yes,3.9/5,543,Basavanagudi,Quick Bites,"South Indian, Fast Food",300,Delivery,Banashankari
Woodee Pizza,Yes,3.7/5,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,Delivery,Banashankari
Puliyogare Point,Yes,4.2/5,444,Basavanagudi,Quick Bites,South Indian,100,Delivery,Banashankari
Bangalore Agarwal Bhavan,Yes,3.9/5,134,Jayanagar,Quick Bites,"Street Food, North Indian, South Indian",400,Delivery,Banashankari
Rustic Stove,Yes,3.8/5,577,Jayanagar,Casual Dining,"North Indian, South Indian, Biryani, Beverages",900,Delivery,Banashankari
Udupi Ruchi Grand,Yes,4.2/5,60,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery,Banashankari
De Thaali,Yes,3.9/5,144,Jayanagar,Casual Dining,"North Indian, Chinese, Rolls",550,Delivery,Banashankari
Spice Elephant,Yes,4.1/5,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800,Delivery,Banashankari
Just Thindi,Yes,3.6/5,16,Basavanagudi,Quick Bites,South Indian,200,Delivery,Banashankari
Matru Sagar,Yes,3.6/5,84,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",250,Delivery,Banashankari
Vasanth Vihar - Since 1965,Yes,3.6/5,95,Banashankari,Quick Bites,"South Indian, Street Food",150,Delivery,Banashankari
Sea Spice by 7 Star,Yes,4.0/5,349,Banashankari,Casual Dining,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab","1,200",Delivery,Banashankari
Desi Dawat,Yes,3.7/5,248,Kumaraswamy Layout,Quick Bites,"North Indian, Fast Food",400,Delivery,Banashankari
Cafe Aira,Yes,4.1/5,216,Basavanagudi,Cafe,"Cafe, Continental, Beverages, Desserts",500,Delivery,Banashankari
Donne Biriyani combos,Yes,,0,Kumaraswamy Layout,Casual Dining,Biryani,400,Delivery,Banashankari
Penthouse Cafe,Yes,4.0/5,324,Banashankari,Cafe,"Cafe, Italian, Continental",700,Delivery,Banashankari
Mast Punjabi,Yes,2.6/5,231,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Rolls, Biryani, Kebab",400,,
 'RATED\n  bad quality'), ('Rated 1.0', ('Rated 1.0', 'RATED\n  Bad taste'), 'RATED\n  tawa roti required to be improve'), ('Rated 1.0', ('Rated 1.0', 'RATED\n  bad quality'), ('Rated 1.0', 'RATED\n  Bad taste')
South Grand,Yes,3.4/5,102,Uttarahalli,Casual Dining,"South Indian, North Indian, Chinese, Beverages",400,Delivery,Banashankari
Catch-up-ino,Yes,3.9/5,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,Delivery,Banashankari
The Pizzeria,Yes,2.8/5,45,Banashankari,Casual Dining,"Pizza, Italian, Salad",800,Delivery,Banashankari
Cafe Zone,Yes,3.9/5,149,Kumaraswamy Layout,Quick Bites,"Fast Food, Chinese, Rolls",300,Delivery,Banashankari
Ruchis Point,Yes,3.8/5,75,Banashankari,Quick Bites,"Fast Food, Chinese",200,Delivery,Banashankari
Firangi Bake,Yes,4.0/5,53,Rajarajeshwari Nagar,Delivery,"Mexican, Italian",600,Delivery,Banashankari
The Royal Corner - Pai Viceroy,Yes,4.2/5,815,Jayanagar,Casual Dining,"North Indian, Chinese",900,Delivery,Banashankari
Hara Fine Dine,Yes,4.0/5,633,Banashankari,Casual Dining,"North Indian, Chinese",800,Delivery,Banashankari
Chocoberry,Yes,3.5/5,56,Jayanagar,Dessert Parlor,"Ice Cream, Desserts, Beverages",400,Delivery,Banashankari
Dakshin Grand,Yes,3.0/5,82,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery,Banashankari
Sandwichwallas,Yes,3.7/5,35,Jayanagar,Quick Bites,Fast Food,200,Delivery,Banashankari
Chai Mane,Yes,3.6/5,20,Basavanagudi,Quick Bites,"Juices, Fast Food",150,Delivery,Banashankari
SLV Upachar,Yes,3.1/5,14,Kumaraswamy Layout,Quick Bites,"South Indian, Chinese, Street Food",250,Delivery,Banashankari
Waffle-A-Go Go,Yes,3.9/5,70,Banashankari,Dessert Parlor,"Fast Food, Desserts, Ice Cream",400,Delivery,Banashankari
Cross Road Cafe,Yes,3.9/5,91,Jayanagar,Cafe,"Cafe, Fast Food, Chinese",300,Delivery,Banashankari
Anand Donne Biriyani,Yes,3.6/5,45,Jayanagar,Quick Bites,Biryani,200,Delivery,Banashankari
Seven Star,Yes,3.4/5,7,Banashankari,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
Stop 'N' Joy,Yes,3.8/5,28,Banashankari,Quick Bites,Fast Food,150,Delivery,Banashankari
Sri Yaksha Shiv Sagar,Yes,3.6/5,24,Banashankari,Casual Dining,"North Indian, Chinese",600,Delivery,Banashankari
Fudge,Yes,3.8/5,36,Basavanagudi,Dessert Parlor,"Desserts, Momos",200,Delivery,Banashankari
Just Bunny,Yes,3.5/5,11,Jayanagar,Quick Bites,Fast Food,200,Delivery,Banashankari
Bakers Town,Yes,3.8/5,77,Kumaraswamy Layout,Cafe,"Cafe, Continental, Fast Food",650,Delivery,Banashankari
Shree Mahalakshmi Sweets,Yes,3.2/5,8,Banashankari,Sweet Shop,"Mithai, Street Food",100,Delivery,Banashankari
Kaapi Kendra,Yes,3.7/5,14,Jayanagar,Quick Bites,South Indian,100,Delivery,Banashankari
Ivy,Yes,3.8/5,210,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Fast Food",600,Delivery,Banashankari
The Airos,Yes,4.1/5,130,Jayanagar,Cafe,"Cafe, Italian, Pizza",650,Delivery,Banashankari
Chai Kraft,Yes,4.1/5,30,Jayanagar,Beverage Shop,"Beverages, Tea",100,Delivery,Banashankari
Kirthi's Biryani,Yes,3.8/5,144,Banashankari,Cafe,"Chinese, Cafe, Italian",700,Delivery,Banashankari
South Point Pub,Yes,3.4/5,11,Basavanagudi,Bar,"North Indian, Seafood, Chinese",800,Delivery,Banashankari
The Trundle,Yes,3.7/5,133,Jayanagar,Casual Dining,"Chinese, Thai, Continental, North Indian",700,Delivery,Banashankari
The Krishna Grand Xpress,Yes,4.0/5,136,Jayanagar,Quick Bites,"South Indian, Fast Food",350,Delivery,Banashankari
Sri Krishna Darshini,Yes,3.1/5,4,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",200,Delivery,Banashankari
Shringar Sweets & Snacks,Yes,3.5/5,11,Basavanagudi,"Sweet Shop, Quick Bites","Mithai, South Indian, Street Food, Fast Food",200,Delivery,Banashankari
